"MARKET_TYPE"	"PROJECT_SCOPE"	"PROJECT_TYPE"	"REGION"	"COUNTRY"	"ISO3"	"COUNT"	"TOTAL_CREDITS_ISSUED"
"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Europe"	"Albania"	"ALB"	"1"	"0"
"VCS"	"Household & Community"	"Cookstoves"	"Sub-Saharan Africa"	"Angola"	"AGO"	"3"	"144.591"
"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Latin America and the Caribbean"	"Argentina"	"ARG"	"1"	"2.040"
"VCS"	"Renewable Energy"	"Biomass"	"Latin America and the Caribbean"	"Argentina"	"ARG"	"1"	"218.569"
"VCS"	"Renewable Energy"	"Hydropower"	"Latin America and the Caribbean"	"Argentina"	"ARG"	"1"	"274.490"
"VCS"	"Waste Management"	"Landfill Methane"	"Latin America and the Caribbean"	"Argentina"	"ARG"	"1"	"0"
"VCS"	"Waste Management"	"Methane Recovery in Wastewater"	"Latin America and the Caribbean"	"Argentina"	"ARG"	"1"	"22.814"
"GS"	"Renewable Energy"	"Solar - Centralized"	"Latin America and the Caribbean"	"Argentina"	"ARG"	"1"	"24.982"
"VCS"	"Renewable Energy"	"Solar - Centralized"	"Latin America and the Caribbean"	"Argentina"	"ARG"	"1"	"370.561"
"VCS"	"Renewable Energy"	"Wind"	"Latin America and the Caribbean"	"Argentina"	"ARG"	"4"	"1050.048"
"GS"	"Renewable Energy"	"Wind"	"Latin America and the Caribbean"	"Aruba"	"ABW"	"1"	
"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Oceania"	"Australia"	"AUS"	"1"	"175.837"
"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"Oceania"	"Australia"	"AUS"	"1"	"0"
"VCS"	"Forestry & Land Use"	"Improved Forest Management"	"Oceania"	"Australia"	"AUS"	"3"	"637.318"
"VCS"	"Renewable Energy"	"Solar - Centralized"	"Western Asia"	"Bahrain"	"BHR"	"1"	"0"
"GS"	"Household & Community"	"Clean Water"	"Southern Asia"	"Bangladesh"	"BGD"	"5"	"425.970"
"GS"	"Household & Community"	"Cookstoves"	"Southern Asia"	"Bangladesh"	"BGD"	"108"	"4372.723"
"VCS"	"Household & Community"	"Cookstoves"	"Southern Asia"	"Bangladesh"	"BGD"	"1"	"0"
