"REGION"	"COUNTRY"	"MARKET_TYPE"	"PROJECT_SCOPE"	"PROJECT_TYPE"	"PROJECT_COUNT"
"Central Asia"	"Kazakhstan"	"VCS"	"Renewable Energy"	"Wind"	"1"
"Central Asia"	"Tajikistan"	"VCS"	"Renewable Energy"	"Hydropower"	"1"
"Central Asia"	"Turkmenistan"	"VCS"	"Renewable Energy"	"Hydropower"	"1"
"Central Asia"	"Uzbekistan"	"VCS"	"Industrial & Commercial"	"Leak Detection & Repair in Gas Systems"	"1"
"Eastern Asia"	"China"	"GS"	"Household & Community"	"Biodigesters"	"98"
"Eastern Asia"	"China"	"GS"	"Renewable Energy"	"Wind"	"26"
"Eastern Asia"	"China"	"GS"	"Household & Community"	"Cookstoves"	"21"
"Eastern Asia"	"China"	"GS"	"Agriculture"	"Manure Methane Digester"	"14"
"Eastern Asia"	"China"	"GS"	"Renewable Energy"	"Solar - Centralized"	"13"
"Eastern Asia"	"China"	"GS"	"Renewable Energy"	"Hydropower"	"11"
"Eastern Asia"	"China"	"GS"	"Industrial & Commercial"	"Waste Heat Recovery"	"5"
"Eastern Asia"	"China"	"GS"	"Renewable Energy"	"Biomass"	"4"
"Eastern Asia"	"China"	"GS"	"Renewable Energy"	"Geothermal"	"4"
"Eastern Asia"	"China"	"GS"	"Waste Management"	"Landfill Methane"	"4"
"Eastern Asia"	"China"	"GS"	"Renewable Energy"	"Solar - centralized"	"3"
"Eastern Asia"	"China"	"GS"	"Waste Management"	"Methane Recovery in Wastewater"	"3"
"Eastern Asia"	"China"	"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"2"
"Eastern Asia"	"China"	"GS"	"Industrial & Commercial"	"Waste Gas Recovery"	"1"
"Eastern Asia"	"China"	"VCS"	"Renewable Energy"	"Wind"	"125"
"Eastern Asia"	"China"	"VCS"	"Renewable Energy"	"Hydropower"	"70"
"Eastern Asia"	"China"	"VCS"	"Agriculture"	"Manure Methane Digester"	"58"
"Eastern Asia"	"China"	"VCS"	"Waste Management"	"Landfill Methane"	"52"
"Eastern Asia"	"China"	"VCS"	"Industrial & Commercial"	"Mine Methane Capture"	"19"
"Eastern Asia"	"China"	"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"18"
"Eastern Asia"	"China"	"VCS"	"Waste Management"	"Composting"	"16"
"Eastern Asia"	"China"	"VCS"	"Renewable Energy"	"Biomass"	"12"
"Eastern Asia"	"China"	"VCS"	"Waste Management"	"Waste Recycling"	"11"
"Eastern Asia"	"China"	"VCS"	"Renewable Energy"	"Solar - Centralized"	"10"
"Eastern Asia"	"China"	"VCS"	"Forestry & Land Use"	"Improved Forest Management"	"8"
"Eastern Asia"	"China"	"VCS"	"Industrial & Commercial"	"Natural Gas Electricity Generation"	"8"
"Eastern Asia"	"China"	"VCS"	"Waste Management"	"Methane Recovery in Wastewater"	"7"
"Eastern Asia"	"China"	"VCS"	"Industrial & Commercial"	"Waste Heat Recovery"	"6"
"Eastern Asia"	"China"	"VCS"	"Renewable Energy"	"Geothermal"	"6"
"Eastern Asia"	"China"	"VCS"	"Waste Management"	"Waste Incineration"	"6"
"Eastern Asia"	"China"	"VCS"	"Forestry & Land Use"	"Sustainable Grassland Management"	"5"
"Eastern Asia"	"China"	"VCS"	"Household & Community"	"Biodigesters"	"2"
"Eastern Asia"	"China"	"VCS"	"Household & Community"	"Cookstoves"	"2"
"Eastern Asia"	"China"	"VCS"	"Industrial & Commercial"	"Waste Gas Recovery"	"2"
"Eastern Asia"	"China"	"VCS"	"Transportation"	"Electric Vehicles & Charging"	"2"
"Eastern Asia"	"China"	"VCS"	"Chemical Processes"	"HFC23 Destruction"	"1"
"Eastern Asia"	"China"	"VCS"	"Forestry & Land Use"	"Wetland Restoration"	"1"
"Eastern Asia"	"China"	"VCS"	"Household & Community"	"Bundled Energy Efficiency"	"1"
"Eastern Asia"	"Mongolia"	"GS"	"Household & Community"	"Bundled Energy Efficiency"	"9"
"Eastern Asia"	"Mongolia"	"GS"	"Household & Community"	"Weatherization"	"1"
"Eastern Asia"	"Mongolia"	"GS"	"Renewable Energy"	"Wind"	"1"
"Eastern Asia"	"Mongolia"	"VCS"	"Renewable Energy"	"Wind"	"1"
"Eastern Asia"	"South Korea"	"VCS"	"Waste Management"	"Landfill Methane"	"2"
"Eastern Asia"	"South Korea"	"VCS"	"Household & Community"	"Bundled Energy Efficiency"	"1"
"Eastern Asia"	"South Korea"	"VCS"	"Industrial & Commercial"	"Waste Gas Recovery"	"1"
"Eastern Asia"	"South Korea"	"VCS"	"Industrial & Commercial"	"Waste Heat Recovery"	"1"
"Eastern Asia"	"South Korea"	"VCS"	"Renewable Energy"	"Wind"	"1"
"Eastern Asia"	"Taiwan"	"GS"	"Renewable Energy"	"Wind"	"5"
"Eastern Asia"	"Taiwan"	"GS"	"Renewable Energy"	"Biomass"	"1"
